,bird1,bird2,shared,total_rep,ac_sim,spatial_dist,sharing_index,april_lay_date_1,clutch_size_1,num_fledglings_1,father_1,mother_1,box_1,year_1,wytham_born_1,natal_box_1,dispersal_distance_1,age_1,x_1,y_1,recorded_1,repertoire_size_1,self_similarity_1,april_lay_date_2,clutch_size_2,num_fledglings_2,father_2,mother_2,box_2,year_2,wytham_born_2,natal_box_2,dispersal_distance_2,age_2,x_2,y_2,recorded_2,repertoire_size_2,self_similarity_2
105,20201B4,20201B221,0,7,0.378085,315.98,0.0,13.0,9.0,9,tr43324,vz32629,B4,2020,False,,,5.0,447845.72,207474.76,True,5.0,0.33875700000000003,19.0,9.0,0,vz33585,,B221,2020,False,,,6.0,447557.72,207344.76,True,2.0,0.3616
111,20201B67,20201B221,2,6,0.41492875,155.21,0.3333333333333333,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334,19.0,9.0,0,vz33585,,B221,2020,False,,,6.0,447557.72,207344.76,True,2.0,0.3616
592,20201MP98,20201B221,0,5,0.3245966666666667,311.19,0.0,18.0,7.0,0,,,MP98,2020,,,,,447817.72,207173.76,True,3.0,0.27349666666666667,19.0,9.0,0,vz33585,,B221,2020,False,,,6.0,447557.72,207344.76,True,2.0,0.3616
869,20201P14,20201B221,0,4,0.45625,462.26,0.0,17.0,9.0,8,vs84049,te80810,P14,2020,True,B63,250.9,5.0,447153.33,207568.71,True,2.0,0.31476,19.0,9.0,0,vz33585,,B221,2020,False,,,6.0,447557.72,207344.76,True,2.0,0.3616
889,20201P2,20201B221,0,3,0.34954999999999997,381.52,0.0,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,,19.0,9.0,0,vz33585,,B221,2020,False,,,6.0,447557.72,207344.76,True,2.0,0.3616
978,20201SW73,20201B221,0,3,0.47709999999999997,465.67,0.0,20.0,9.0,8,vz31181,tr42800,SW73,2020,True,P7,471.9,5.0,447094.33,207298.71,True,1.0,,19.0,9.0,0,vz33585,,B221,2020,False,,,6.0,447557.72,207344.76,True,2.0,0.3616
987,20201SW76,20201B221,0,4,0.28263499999999997,399.47,0.0,16.0,8.0,8,tr43321,tr43320,SW76,2020,False,,,5.0,447158.33,207352.75,True,2.0,0.31767,19.0,9.0,0,vz33585,,B221,2020,False,,,6.0,447557.72,207344.76,True,2.0,0.3616
7,20201B161,20201B175,0,3,0.21941500000000003,365.94,0.0,15.0,9.0,8,te80930,tw77018,B161,2020,True,B8,383.7,5.0,447430.72,207645.76,True,1.0,,20.0,3.0,0,,,B175,2020,,,,,447753.72,207473.76,True,2.0,0.29746
14,20201B165,20201B175,0,5,0.321295,299.55,0.0,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997,20.0,3.0,0,,,B175,2020,,,,,447753.72,207473.76,True,2.0,0.29746
35,20201B205,20201B175,0,3,0.19645,279.96,0.0,21.0,7.0,5,vz32583,ty70131,B205,2020,True,MP75,878.1,6.0,447877.72,207724.76,True,1.0,,20.0,3.0,0,,,B175,2020,,,,,447753.72,207473.76,True,2.0,0.29746
